title,brand,price,rating,review_count,product_link,image_url
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",jumper,$209.99,4.5,46,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0FFSPXRGN/ref=sr_1_2?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-2&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71vwx59yoVL.__AC_SX300_SY300_QL70_ML2_.jpg
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",HP,$173.48,4.1,"3,698",https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-3&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/815uX7wkOZS.__AC_SX300_SY300_QL70_ML2_.jpg
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",HP,$262.65,4.2,"2,988",https://www.amazon.com/HP-Stream-BrightView-N4120-Graphics/dp/B0CZKPF2QH/ref=sr_1_4?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-4&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/61Uw0-2+2YL._AC_SY300_SX300_.jpg
"HP 17 Laptop, 17.3"" HD+ Touchscreen Display, 12th Gen Intel Core i7-1255U, 64GB RAM, 2TB SSD, Webcam, HDMI, SuperSpeed USB Ports, Wi-Fi 6, Windows 11 Home, Silver",HP,$379.99,4.2,815,https://www.amazon.com/HP-Touchscreen-Display-i7-1255U-SuperSpeed/dp/B0CKTZVB17/ref=sr_1_5?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-5&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71CGrFl8cjL.__AC_SY300_SX300_QL70_ML2_.jpg
"2025 AMD Laptop, 15.6inch Laptop Computer with AMD Ryzen 7 5700U(8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6",KAIGERR,$489.99,4.4,13,https://www.amazon.com/KAIGERR-15-6inch-Computer-Windows-Graphics/dp/B0FHGS48WQ/ref=sr_1_6?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-6&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/81jFW4cV7bL.__AC_SX300_SY300_QL70_ML2_.jpg
"Lenovo Ideapad Touchscreen Laptop Computer for Home Business Student, 15.6"" FHD, 40GB DDR4 RAM, 1TB PCIe SSD, Intel 6-Core CPU (Beat i5-1155G7), WiFi 6, HDMI, Windows 11 Pro S, BEF-ectoy Cable",Lenovo,$399.99,4.4,52,https://www.amazon.com/Lenovo-Touchscreen-Computer-i5-1155G7-BEF-ectoy/dp/B0FFSXGD8T/ref=sr_1_7?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-7&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/81monfTdA-L.__AC_SX300_SY300_QL70_ML2_.jpg
"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",HP,$418.95,4.2,"1,322",https://www.amazon.com/HP-Pavilion-Touchscreen-Anti-Glare-Processor/dp/B0C4G4L53W/ref=sr_1_8?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-8&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71aTEZOda0L.__AC_SX300_SY300_QL70_ML2_.jpg
"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",HP,$173.15,4.3,"2,168",https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_9?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-9&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/71tXLOE7wIL.__AC_SX300_SY300_QL70_ML2_.jpg
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",Dell,$529.99,4.2,635,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_11?crid=1MMTRW2O10Y0J&dib=eyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI&dib_tag=se&keywords=laptops&qid=1754669906&sprefix=laptops%2Caps%2C264&sr=8-11&xpid=V4OMaF1xdb4Ig,https://m.media-amazon.com/images/I/61Wc1fDGJuL.__AC_SY300_SX300_QL70_ML2_.jpg
"Lenovo IdeaPad Slim 3X - 2025 - Everyday AI Laptop - Copilot+ PC - 15.3"" WUXGA Display - 16 GB Memory - 512 GB Storage - Qualcomm® Snapdragon® X - Luna Grey",Lenovo,$679.99,4.5,17,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDQ2NDk5NDY0MzYzMTkyOjE3NTQ2Njk5MDY6c3BfbXRmOjMwMDg0MjM5MTc5NTMwMjo6MDo6&url=%2FLenovo-IdeaPad-Slim-Qualcomm%25C2%25AE-Snapdragon%25C2%25AE%2Fdp%2FB0DTBPC46X%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1MMTRW2O10Y0J%26dib%3DeyJ2IjoiMSJ9.gKdgor8FWqTbhPA7GDSt7ucHltcR22oIOJbsbc3rZyGzYsI75GQ4jLNzmyTF7ti0FKB1IBENGiGGoY_GROwJjffBLMS6_x0LCw0QIeRhaynEqlZCRMR85RvsHYmBpZ-mlLXi_4IvLTRts2rjDZq-TzhXegXC3O5g_2MU9ynpAywj5zfEYBeBUXjChMU7OngTFbn2KQjr3RhmnaEGlPw_LpQ8MUxYs_Wv--8U8cU-6r0.CvAdPN3OhV0Uo9f7nImTowNirty3Rpia4OVeiw2hsDI%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754669906%26sprefix%3Dlaptops%252Caps%252C264%26sr%3D8-12-spons%26xpid%3DV4OMaF1xdb4Ig%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,https://m.media-amazon.com/images/I/71nYpJKrGNL.__AC_SX300_SY300_QL70_ML2_.jpg
